precision,side,block,phase,pairs,reference_median_seconds,native_median_seconds,median_paired_speedup,min_paired_speedup,max_paired_speedup
double,16,1,preconditioner,10,7.263125e-06,7.73275e-06,0.9386218950027583,0.8237407019826343,0.9864803305892689
double,16,1,products,10,1.3746914672851562e-07,1.375931396484375e-07,0.9979158395124017,0.9854235572566208,1.3545892878777912
double,16,1,solve,10,0.000140441,0.000140551,0.9988265802800038,0.9199798362018736,1.0035109002033753
double,16,5,preconditioner,10,1.0339625e-05,1.0512375e-05,0.9837380473920831,0.8541541831105234,0.9903401182502766
double,16,5,products,10,6.294444529223257e-07,6.325856096444377e-07,0.9931696495435867,0.9278573224257478,1.0726180006647477
double,16,5,solve,10,0.0002319695,0.00022927400000000001,1.0212353491153396,0.866437033952837,1.1285199413838174
double,16,1296,preconditioner,10,0.0023076529375,0.0023688513124999998,0.9852561061853982,0.846188768965181,1.0745278356082433
double,16,1296,products,10,0.00017733294,0.0001760944,0.9717486056532906,0.9013061471299808,1.3996753996187996
double,16,1296,solve,10,0.0713006515,0.071226497,1.0010888661866837,0.9434589133646977,1.040439668288404
float,16,1,preconditioner,10,6.9925625000000005e-06,6.9945e-06,0.9996426558778666,0.9595846919512614,1.0069048333833683
float,16,1,products,10,2.104604187011719e-07,2.103720703125e-07,0.9973770612540058,0.8378179761614349,1.0397917143110507
float,16,1,solve,10,7.98665e-05,7.936e-05,1.004051448968372,0.9995122622278361,1.4268409751168372
float,16,5,preconditioner,10,9.1704375e-06,9.1886875e-06,0.9980455390537957,0.8125374791782344,1.5532130994537319
float,16,5,products,10,9.398184800854572e-07,9.501646574088205e-07,0.9905974755316496,0.9647068915183938,1.1900385458777256
float,16,5,solve,10,0.00012986600000000002,0.00013118800000000002,0.9752121620491966,0.7983457734009871,1.1391294882361174
float,16,1296,preconditioner,10,0.0006754870625,0.000651015125,1.0347122848155323,0.8399512216811407,1.1926197635950557
float,16,1296,products,10,0.00024168300000000002,0.00024848006,0.9757997057809947,0.7432152607104632,1.0302848446965973
float,16,1296,solve,10,0.017662717,0.017983875,0.9673362368889455,0.8830902779322697,1.096702789633127
