precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
double,16,1,4,native,solve,0.00014248,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,native,products,1.3823400878906251e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,native,solve,0.000159963,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,reference,products,1.3599588012695312e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,reference,solve,0.00014039599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,reference,products,1.3696115112304688e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,reference,solve,0.00013994499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,native,products,1.3646459960937501e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,native,solve,0.000140426,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,native,products,1.3744085693359376e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,native,solve,0.00014010499999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,reference,products,1.3797717285156249e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,reference,solve,0.000140016,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,reference,products,1.3540975952148438e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,reference,solve,0.00013996500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,native,products,1.3660830688476562e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,native,solve,0.000143802,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,native,products,1.3737759399414063e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,native,solve,0.00014041600000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,reference,products,1.3691314697265625e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,reference,solve,0.000140085,7,16,14,23,4.5613717577587319e-10,0
float,16,5,-1,native,profile_operator,4.1028000000000001e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_preconditioner,7.4060999999999994e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_total,0.00015310000000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_operator,4.0575999999999999e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_preconditioner,7.2627999999999996e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_total,0.00016655500000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,reference,products,9.3354188921104837e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,reference,solve,0.00012927500000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,native,products,9.3325606592400431e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,native,solve,0.00012751099999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,native,products,1.137359987791851e-06,0,0,0,0,0,79192294.665039062
float,16,5,1,native,solve,0.00012728199999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,reference,products,9.2768457195177785e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,reference,solve,0.000128042,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,reference,products,9.9111780863726538e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,reference,solve,0.00012771200000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,native,products,9.2909735998779191e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,native,solve,0.00012715099999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,native,products,9.3891454295742415e-07,0,0,0,0,0,79192294.665039062
float,16,5,3,native,solve,0.000145566,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,reference,products,9.3033587669769567e-07,0,0,0,0,0,79192294.665039062
float,16,5,3,reference,solve,0.00012767200000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,reference,products,9.4189119487257752e-07,0,0,0,0,0,79192294.665039062
float,16,5,4,reference,solve,0.00013325300000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,native,products,9.5280787425606598e-07,0,0,0,0,0,79192294.665039062
float,16,5,4,native,solve,0.000127071,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,native,products,9.3397451548908896e-07,0,0,0,0,0,79192294.665039062
float,16,5,5,native,solve,0.00012725099999999999,4,10,8,14,3.3816904203655107e-06,0
