precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
double,16,1,-1,reference,profile_operator,3.3744000000000001e-05,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_preconditioner,0.00010211199999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,-1,reference,profile_total,0.00015291,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,reference,products,1.3784796142578125e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,reference,preconditioner,7.3902500000000001e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,0,reference,solve,0.00014141800000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,0,native,products,1.3828732299804688e-07,0,0,0,0,0,78465625.174233173
double,16,1,0,native,preconditioner,7.6607499999999995e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,0,native,solve,0.000140366,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,native,products,1.365906982421875e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,native,preconditioner,8.6187499999999994e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,1,native,solve,0.000140476,7,16,14,23,4.5613717577587319e-10,0
double,16,1,1,reference,products,1.3823135375976563e-07,0,0,0,0,0,78465625.174233173
double,16,1,1,reference,preconditioner,7.4015000000000002e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,1,reference,solve,0.00014055599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,reference,products,1.3816198730468749e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,reference,preconditioner,7.374e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,2,reference,solve,0.00014022500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,2,native,products,1.3768133544921876e-07,0,0,0,0,0,78465625.174233173
double,16,1,2,native,preconditioner,7.5830000000000001e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,2,native,solve,0.00013901300000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,native,products,1.3677505493164062e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,native,preconditioner,8.4547500000000007e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,3,native,solve,0.000139054,7,16,14,23,4.5613717577587319e-10,0
double,16,1,3,reference,products,1.3581805419921875e-07,0,0,0,0,0,78465625.174233173
double,16,1,3,reference,preconditioner,7.3927499999999996e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,3,reference,solve,0.000140266,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,reference,products,1.8038363647460938e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,reference,preconditioner,7.3626249999999997e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,4,reference,solve,0.000155234,7,16,14,23,4.5613717577587319e-10,0
double,16,1,4,native,products,1.3566458129882812e-07,0,0,0,0,0,78465625.174233173
double,16,1,4,native,preconditioner,7.6933749999999998e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,4,native,solve,0.000139023,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,native,products,1.4089358520507813e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,native,preconditioner,7.6682500000000007e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,5,native,solve,0.00014023599999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,5,reference,products,1.3773208618164063e-07,0,0,0,0,0,78465625.174233173
double,16,1,5,reference,preconditioner,7.4216250000000003e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,5,reference,solve,0.00014113799999999999,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,reference,products,1.3909909057617188e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,reference,preconditioner,7.3889999999999999e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,6,reference,solve,0.000140576,7,16,14,23,4.5613717577587319e-10,0
double,16,1,6,native,products,1.3807452392578124e-07,0,0,0,0,0,78465625.174233173
double,16,1,6,native,preconditioner,8.6713749999999996e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,6,native,solve,0.00016362000000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,native,products,1.3756668090820313e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,native,preconditioner,7.6182500000000003e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,7,native,solve,0.000138954,7,16,14,23,4.5613717577587319e-10,0
double,16,1,7,reference,products,1.3679556274414063e-07,0,0,0,0,0,78465625.174233173
double,16,1,7,reference,preconditioner,7.4364999999999999e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,7,reference,solve,0.00014095700000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,reference,products,1.3575933837890624e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,reference,preconditioner,7.5255000000000002e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,8,reference,solve,0.000140366,7,16,14,23,4.5613717577587319e-10,0
double,16,1,8,native,products,1.3854354858398438e-07,0,0,0,0,0,78465625.174233173
double,16,1,8,native,preconditioner,7.6745000000000008e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,8,native,solve,0.00015069500000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,native,products,1.3752630615234375e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,native,preconditioner,7.5881250000000003e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,9,native,solve,0.00013890300000000001,7,16,14,23,4.5613717577587319e-10,0
double,16,1,9,reference,products,1.3710803222656249e-07,0,0,0,0,0,78465625.174233173
double,16,1,9,reference,preconditioner,7.4403749999999999e-06,0,0,0,0,0,-0.8467963401021481
double,16,1,9,reference,solve,0.00014069700000000001,7,16,14,23,4.5613717577587319e-10,0
float,16,5,-1,native,profile_operator,4.5327000000000002e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_preconditioner,8.2245999999999998e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,native,profile_total,0.000182435,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_operator,3.9466000000000005e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_preconditioner,7.3398000000000004e-05,4,10,8,14,3.3816904203655107e-06,0
float,16,5,-1,reference,profile_total,0.00016734599999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,reference,products,9.3797909354494132e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,reference,preconditioner,9.3026249999999997e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,0,reference,solve,0.00014278000000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,0,native,products,9.3928628109262935e-07,0,0,0,0,0,79192294.665039062
float,16,5,0,native,preconditioner,9.3176250000000004e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,0,native,solve,0.000126119,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,native,products,9.3561696932702579e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,native,preconditioner,9.2776250000000008e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,1,native,solve,0.00014662799999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,1,reference,products,9.2937280634823746e-07,0,0,0,0,0,79192294.665039062
float,16,5,1,reference,preconditioner,9.3063749999999995e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,1,reference,solve,0.00012652,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,reference,products,9.3523470166336026e-07,0,0,0,0,0,79192294.665039062
float,16,5,2,reference,preconditioner,9.3327499999999997e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,2,reference,solve,0.00012735099999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,2,native,products,1.1453027620936974e-06,0,0,0,0,0,79192294.665039062
float,16,5,2,native,preconditioner,9.3852499999999996e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,2,native,solve,0.00012741200000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,native,products,9.3722234091255914e-07,0,0,0,0,0,79192294.665039062
float,16,5,3,native,preconditioner,9.2838749999999993e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,3,native,solve,0.00012560800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,3,reference,products,9.3194292690370823e-07,0,0,0,0,0,79192294.665039062
float,16,5,3,reference,preconditioner,9.3076250000000005e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,3,reference,solve,0.00012725099999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,reference,products,9.477030367770487e-07,0,0,0,0,0,79192294.665039062
float,16,5,4,reference,preconditioner,9.3301250000000007e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,4,reference,solve,0.00012624000000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,4,native,products,9.3211872424843581e-07,0,0,0,0,0,79192294.665039062
float,16,5,4,native,preconditioner,9.2987499999999997e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,4,native,solve,0.00012560800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,native,products,9.3223958492293617e-07,0,0,0,0,0,79192294.665039062
float,16,5,5,native,preconditioner,1.1273875000000001e-05,0,0,0,0,0,-0.84679639339447021
float,16,5,5,native,solve,0.000128904,4,10,8,14,3.3816904203655107e-06,0
float,16,5,5,reference,products,9.4557622462994046e-07,0,0,0,0,0,79192294.665039062
float,16,5,5,reference,preconditioner,9.3226249999999995e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,5,reference,solve,0.00012638999999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,6,reference,products,9.4046665649320928e-07,0,0,0,0,0,79192294.665039062
float,16,5,6,reference,preconditioner,1.0421000000000001e-05,0,0,0,0,0,-0.84679639339447021
float,16,5,6,reference,solve,0.00012596800000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,6,native,products,9.3294887837631615e-07,0,0,0,0,0,79192294.665039062
float,16,5,6,native,preconditioner,9.2962499999999993e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,6,native,solve,0.00012564799999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,7,native,products,9.3197649931329156e-07,0,0,0,0,0,79192294.665039062
float,16,5,7,native,preconditioner,9.26875e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,7,native,solve,0.000146427,4,10,8,14,3.3816904203655107e-06,0
float,16,5,7,reference,products,9.2777063940180071e-07,0,0,0,0,0,79192294.665039062
float,16,5,7,reference,preconditioner,9.26875e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,7,reference,solve,0.00012631900000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,8,reference,products,9.5370395238821914e-07,0,0,0,0,0,79192294.665039062
float,16,5,8,reference,preconditioner,9.2724999999999997e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,8,reference,solve,0.00014105699999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,8,native,products,9.2670181596215476e-07,0,0,0,0,0,79192294.665039062
float,16,5,8,native,preconditioner,9.3013750000000004e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,8,native,solve,0.00012574799999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,9,native,products,9.3696383335876692e-07,0,0,0,0,0,79192294.665039062
float,16,5,9,native,preconditioner,9.3101249999999992e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,9,native,solve,0.00014920299999999999,4,10,8,14,3.3816904203655107e-06,0
float,16,5,9,reference,products,9.252081489394171e-07,0,0,0,0,0,79192294.665039062
float,16,5,9,reference,preconditioner,9.3227499999999998e-06,0,0,0,0,0,-0.84679639339447021
float,16,5,9,reference,solve,0.000128143,4,10,8,14,3.3816904203655107e-06,0
double,16,5,-1,native,profile_operator,6.3810000000000001e-05,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,native,profile_preconditioner,0.000134776,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,native,profile_total,0.00028032000000000003,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_operator,6.7448000000000009e-05,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_preconditioner,0.00014714799999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_total,0.00029538900000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,0,reference,products,6.3614863421333738e-07,0,0,0,0,0,79192302.082384101
double,16,5,0,reference,preconditioner,1.0066499999999999e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,0,reference,solve,0.00022724,7,16,14,23,5.6037012670773305e-10,0
double,16,5,0,native,products,6.3046101022432467e-07,0,0,0,0,0,79192302.082384101
double,16,5,0,native,preconditioner,1.0127875e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,0,native,solve,0.000222592,7,16,14,23,5.6037012670773305e-10,0
double,16,5,1,native,products,6.2873035251030061e-07,0,0,0,0,0,79192302.082384101
double,16,5,1,native,preconditioner,1.0018875e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,1,native,solve,0.00022111900000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,1,reference,products,6.7237158553334357e-07,0,0,0,0,0,79192302.082384101
double,16,5,1,reference,preconditioner,1.0067875000000001e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,1,reference,solve,0.00022724999999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,2,reference,products,6.2741553486952531e-07,0,0,0,0,0,79192302.082384101
double,16,5,2,reference,preconditioner,1.1290125000000001e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,2,reference,solve,0.00022587799999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,2,native,products,6.2748130627193652e-07,0,0,0,0,0,79192302.082384101
double,16,5,2,native,preconditioner,1.0016374999999999e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,2,native,solve,0.00022081800000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,3,native,products,6.8757378300015264e-07,0,0,0,0,0,79192302.082384101
double,16,5,3,native,preconditioner,1.002525e-05,0,0,0,0,0,-0.8467963401021481
double,16,5,3,native,solve,0.00022036700000000001,7,16,14,23,5.6037012670773305e-10,0
